Met.num      A             h              x             y          yexact        delta       delta *power  
2               7         0.001            10     5.109e-31     3.975e-31     0.0006601   6.60e-01 
2               7        0.0001            10     4.077e-31     3.975e-31     6.613e-05   6.61e-01 
2               7         1e-05            10     3.985e-31     3.975e-31     6.614e-06   6.61e-01 

2               8           0.1            10      2.97e-26     1.805e-35       0.05836   5.84e-01 
2               8          0.01            10     4.071e-34     1.805e-35      0.006912   6.91e-01 
2               8         0.001            10     2.501e-35     1.805e-35     0.0007055   7.05e-01 
2               8        0.0001            10     1.865e-35     1.805e-35     7.069e-05   7.07e-01 
2               8         1e-05            10     1.811e-35     1.805e-35     7.071e-06   7.07e-01 

2               9           0.1            10     1.332e-28     8.194e-40       0.06058   6.06e-01 
2               9          0.01            10     4.083e-38     8.194e-40      0.007312   7.31e-01 
2               9         0.001            10     1.237e-39     8.194e-40      0.000748   7.48e-01 
2               9        0.0001            10      8.54e-40     8.194e-40     7.498e-05   7.50e-01 
2               9         1e-05            10     8.228e-40     8.194e-40       7.5e-06   7.50e-01 

2              10           0.1            10     7.889e-31      3.72e-44       0.06249   6.25e-01 
2              10          0.01            10     4.454e-42      3.72e-44      0.007686   7.69e-01 
2              10         0.001            10     6.174e-44      3.72e-44     0.0007883   7.88e-01 
2              10        0.0001            10     3.915e-44      3.72e-44     7.903e-05   7.90e-01 
2              10         1e-05            10     3.739e-44      3.72e-44     7.905e-06   7.91e-01 



3               1           0.1            10     4.502e-05      4.54e-05      0.000417   4.17e-02 
3               1          0.01            10     4.585e-05      4.54e-05     4.167e-06   4.17e-02 
3               1         0.001            10     4.545e-05      4.54e-05     4.167e-08   4.17e-02 
3               1        0.0001            10      4.54e-05      4.54e-05     4.172e-10   4.17e-02 
3               1         1e-05            10      4.54e-05      4.54e-05      7.13e-12   7.13e-02 

3               2           0.1            10     1.927e-09     2.061e-09      0.001183   1.18e-01 
3               2          0.01            10     2.101e-09     2.061e-09     1.179e-05   1.18e-01 
3               2         0.001            10     2.065e-09     2.061e-09     1.179e-07   1.18e-01 
3               2        0.0001            10     2.062e-09     2.061e-09     1.179e-09   1.18e-01 
3               2         1e-05            10     2.061e-09     2.061e-09     1.221e-11   1.22e-01 

3               3           0.1            10     7.449e-14     9.358e-14      0.002182   2.18e-01 
3               3          0.01            10     9.621e-14     9.358e-14     2.165e-05   2.17e-01 
3               3         0.001            10     9.386e-14     9.358e-14     2.165e-07   2.17e-01 
3               3        0.0001            10      9.36e-14     9.358e-14     2.165e-09   2.17e-01 
3               3         1e-05            10     9.358e-14     9.358e-14     2.247e-11   2.25e-01 

3               4           0.1            10      2.46e-18     4.248e-18      0.003378   3.38e-01 
3               4          0.01            10     4.398e-18     4.248e-18     3.334e-05   3.33e-01 
3               4         0.001            10     4.265e-18     4.248e-18     3.333e-07   3.33e-01 
3               4        0.0001            10      4.25e-18     4.248e-18     3.333e-09   3.33e-01 
3               4         1e-05            10     4.249e-18     4.248e-18     3.284e-11   3.28e-01 

3               5           0.1            10     6.533e-23     1.929e-22      0.004755   4.75e-01 
3               5          0.01            10     2.007e-22     1.929e-22     4.659e-05   4.66e-01 
3               5         0.001            10     1.938e-22     1.929e-22     4.658e-07   4.66e-01 
3               5        0.0001            10      1.93e-22     1.929e-22     4.659e-09   4.66e-01 
3               5         1e-05            10     1.929e-22     1.929e-22      4.65e-11   4.65e-01 

3               6           0.1            10     1.305e-27     8.757e-27      0.006301   6.30e-01 
3               6          0.01            10     9.132e-27     8.757e-27     6.126e-05   6.13e-01 
3               6         0.001            10     8.808e-27     8.757e-27     6.124e-07   6.12e-01 
3               6        0.0001            10     8.762e-27     8.757e-27     6.124e-09   6.12e-01 
3               6         1e-05            10     8.757e-27     8.757e-27       6.1e-11   6.10e-01 

3               7           0.1            10     1.811e-32     3.975e-31      0.008012   8.01e-01 
3               7          0.01            10     4.144e-31     3.975e-31      7.72e-05   7.72e-01 
3               7         0.001            10     4.002e-31     3.975e-31     7.717e-07   7.72e-01 
3               7        0.0001            10     3.978e-31     3.975e-31     7.717e-09   7.72e-01 
3               7         1e-05            10     3.976e-31     3.975e-31     7.716e-11   7.72e-01 

3               8           0.1            10     1.593e-37     1.805e-35      0.009883   9.88e-01 
3               8          0.01            10     1.874e-35     1.805e-35     9.433e-05   9.43e-01 
3               8         0.001            10     1.819e-35     1.805e-35     9.428e-07   9.43e-01 
3               8        0.0001            10     1.806e-35     1.805e-35     9.428e-09   9.43e-01 
3               8         1e-05            10     1.805e-35     1.805e-35     9.442e-11   9.44e-01 

3               9           0.1            10     7.934e-43     8.194e-40       0.01191   1.19e+00 
3               9          0.01            10     8.437e-40     8.194e-40     0.0001126   1.13e+00 
3               9         0.001            10     8.263e-40     8.194e-40     1.125e-06   1.13e+00 
3               9        0.0001            10     8.201e-40     8.194e-40     1.125e-08   1.13e+00 
3               9         1e-05            10     8.195e-40     8.194e-40     1.125e-10   1.13e+00 

3              10           0.1            10      1.94e-48      3.72e-44        0.0141   1.41e+00 
3              10          0.01            10     3.782e-44      3.72e-44     0.0001319   1.32e+00 
3              10         0.001            10     3.754e-44      3.72e-44     1.318e-06   1.32e+00 
3              10        0.0001            10     3.724e-44      3.72e-44     1.318e-08   1.32e+00 
3              10         1e-05            10      3.72e-44      3.72e-44     1.319e-10   1.32e+00 



4               1           0.1            10         53.76      4.54e-05         39.96   4.00e+02 
4               1          0.01            10        -0.545      4.54e-05        0.3873   3.87e+01 
4               1         0.001            10     -0.005456      4.54e-05      0.003892   3.89e+00 
4               1        0.0001            10    -9.656e-06      4.54e-05     3.894e-05   3.89e-01 
4               1         1e-05            10     4.485e-05      4.54e-05     3.893e-07   3.89e-02 

4               2           0.1            10     4.132e+06     2.061e-09     2.282e+06   2.28e+07 
4               2          0.01            10    -4.748e+04     2.061e-09     2.398e+04   2.40e+06 
4               2         0.001            10        -484.2     2.061e-09         242.3   2.42e+05 
4               2        0.0001            10        -4.851     2.061e-09         2.426   2.43e+04 
4               2         1e-05            10      -0.04852     2.061e-09       0.02426   2.43e+03 

4               3           0.1            10     1.462e+11     9.358e-14     6.919e+10   6.92e+11 
4               3          0.01            10    -2.321e+09     9.358e-14      9.62e+08   9.62e+10 
4               3         0.001            10    -2.397e+07     9.358e-14     9.801e+06   9.80e+09 
4               3        0.0001            10    -2.404e+05     9.358e-14     9.815e+04   9.81e+08 
4               3         1e-05            10         -2404     9.358e-14         981.6   9.82e+07 

4               4           0.1            10     3.108e+15     4.248e-18     1.335e+15   1.34e+16 
4               4          0.01            10     -8.94e+13     4.248e-18     3.224e+13   3.22e+15 
4               4         0.001            10    -9.377e+11     4.248e-18     3.322e+11   3.32e+14 
4               4        0.0001            10    -9.412e+09     4.248e-18     3.328e+09   3.33e+13 
4               4         1e-05            10    -9.415e+07     4.248e-18     3.329e+07   3.33e+12 

4               5           0.1            10     4.181e+19     1.929e-22     1.682e+19   1.68e+20 
4               5          0.01            10    -3.013e+18     1.929e-22      9.77e+17   9.77e+19 
4               5         0.001            10    -3.224e+16     1.929e-22     1.022e+16   1.02e+19 
4               5        0.0001            10    -3.239e+14     1.929e-22     1.024e+14   1.02e+18 
4               5         1e-05            10     -3.24e+12     1.929e-22     1.025e+12   1.02e+17 

4               6           0.1            10     3.602e+23     8.757e-27     1.382e+23   1.38e+24 
4               6          0.01            10    -9.313e+22     8.757e-27      2.77e+22   2.77e+24 
4               6         0.001            10    -1.021e+21     8.757e-27     2.957e+20   2.96e+23 
4               6        0.0001            10    -1.027e+19     8.757e-27     2.966e+18   2.97e+22 
4               6         1e-05            10    -1.028e+17     8.757e-27     2.967e+16   2.97e+21 

4               7           0.1            10         2e+27     3.975e-31     7.408e+26   7.41e+27 
4               7          0.01            10    -2.704e+27     3.975e-31     7.484e+26   7.48e+28 
4               7         0.001            10    -3.058e+25     3.975e-31     8.202e+24   8.20e+27 
4               7        0.0001            10    -3.079e+23     3.975e-31     8.232e+22   8.23e+26 
4               7         1e-05            10    -3.081e+21     3.975e-31     8.235e+20   8.24e+25 

4               8           0.1            10     7.229e+30     1.805e-35     2.607e+30   2.61e+31 
4               8          0.01            10    -7.481e+31     1.805e-35     1.946e+31   1.95e+33 
4               8         0.001            10    -8.786e+29     1.805e-35     2.205e+29   2.21e+32 
4               8        0.0001            10    -8.858e+27     1.805e-35     2.215e+27   2.22e+31 
4               8         1e-05            10    -8.864e+25     1.805e-35     2.216e+25   2.22e+30 

4               9           0.1            10     1.726e+34     8.194e-40     6.096e+33   6.10e+34 
4               9          0.01            10    -1.989e+36     8.194e-40     4.904e+35   4.90e+37 
4               9         0.001            10    -2.446e+34     8.194e-40     5.791e+33   5.79e+36 
4               9        0.0001            10    -2.469e+32     8.194e-40     5.822e+31   5.82e+35 
4               9         1e-05            10    -2.471e+30     8.194e-40     5.825e+29   5.82e+34 

4              10           0.1            10     2.775e+37      3.72e-44     9.641e+36   9.64e+37 
4              10          0.01            10    -5.114e+40      3.72e-44     1.202e+40   1.20e+42 
4              10         0.001            10    -6.642e+38      3.72e-44     1.493e+38   1.49e+41 
4              10        0.0001            10    -6.713e+36      3.72e-44     1.502e+36   1.50e+40 
4              10         1e-05            10     -6.72e+34      3.72e-44     1.503e+34   1.50e+39 



5               1           0.1            10     2.221e-06      4.54e-05         0.106   1.06e+00 
5               1          0.01            10     3.731e-05      4.54e-05       0.01005   1.01e+00 
5               1         0.001            10     4.454e-05      4.54e-05      0.001001   1.00e+00 
5               1        0.0001            10     4.531e-05      4.54e-05        0.0001   1.00e+00 
5               1         1e-05            10     4.539e-05      4.54e-05         1e-05   1.00e+00 

5               2           0.1            10     -2.84e-17     2.061e-09        0.1605   1.60e+00 
5               2          0.01            10      8.96e-10     2.061e-09        0.0143   1.43e+00 
5               2         0.001            10     1.906e-09     2.061e-09      0.001416   1.42e+00 
5               2        0.0001            10     2.045e-09     2.061e-09     0.0001414   1.41e+00 
5               2         1e-05            10      2.06e-09     2.061e-09     1.414e-05   1.41e+00 

5               3           0.1            10    -1.019e-14     9.358e-14        0.2127   2.13e+00 
5               3          0.01            10     1.319e-14     9.358e-14       0.01761   1.76e+00 
5               3         0.001            10     7.826e-14     9.358e-14      0.001735   1.73e+00 
5               3        0.0001            10     9.193e-14     9.358e-14     0.0001732   1.73e+00 
5               3         1e-05            10     9.341e-14     9.358e-14     1.732e-05   1.73e+00 

5               4           0.1            10    -8.061e-12     4.248e-18        0.2691   2.69e+00 
5               4          0.01            10     1.124e-19     4.248e-18       0.02045   2.05e+00 
5               4         0.001            10     3.085e-18     4.248e-18      0.002004   2.00e+00 
5               4        0.0001            10     4.116e-18     4.248e-18        0.0002   2.00e+00 
5               4         1e-05            10     4.235e-18     4.248e-18         2e-05   2.00e+00 

5               5           0.1            10     9.756e-10     1.929e-22        0.3349   3.35e+00 
5               5          0.01            10     5.174e-25     1.929e-22         0.023   2.30e+00 
5               5         0.001            10     1.166e-22     1.929e-22      0.002242   2.24e+00 
5               5        0.0001            10     1.835e-22     1.929e-22     0.0002237   2.24e+00 
5               5         1e-05            10     1.919e-22     1.929e-22     2.236e-05   2.24e+00 

5               6           0.1            10     1.429e-07     8.757e-27        0.4175   4.17e+00 
5               6          0.01            10     1.181e-30     8.757e-27       0.02534   2.53e+00 
5               6         0.001            10     4.229e-27     8.757e-27      0.002458   2.46e+00 
5               6        0.0001            10     8.152e-27     8.757e-27      0.000245   2.45e+00 
5               6         1e-05            10     8.694e-27     8.757e-27      2.45e-05   2.45e+00 

5               7           0.1            10    -5.005e-06     3.975e-31        0.5303   5.30e+00 
5               7          0.01            10     1.202e-36     3.975e-31       0.02754   2.75e+00 
5               7         0.001            10      1.47e-31     3.975e-31      0.002656   2.66e+00 
5               7        0.0001            10     3.606e-31     3.975e-31     0.0002647   2.65e+00 
5               7         1e-05            10     3.937e-31     3.975e-31     2.646e-05   2.65e+00 

5               8           0.1            10    -0.0007599     1.805e-35        0.7076   7.08e+00 
5               8          0.01            10     4.773e-43     1.805e-35       0.02962   2.96e+00 
5               8         0.001            10     4.893e-36     1.805e-35      0.002841   2.84e+00 
5               8        0.0001            10     1.589e-35     1.805e-35      0.000283   2.83e+00 
5               8         1e-05            10     1.782e-35     1.805e-35     2.829e-05   2.83e+00 

5               9           0.1            10       0.04075     8.194e-40         1.081   1.08e+01 
5               9          0.01            10     6.204e-50     8.194e-40       0.03161   3.16e+00 
5               9         0.001            10      1.56e-40     8.194e-40      0.003015   3.01e+00 
5               9        0.0001            10     6.972e-40     8.194e-40     0.0003001   3.00e+00 
5               9         1e-05            10     8.063e-40     8.194e-40         3e-05   3.00e+00 

5              10           0.1            10        -1.342      3.72e-44          3.01   3.01e+01 
5              10          0.01            10     2.085e-57      3.72e-44       0.03353   3.35e+00 
5              10         0.001            10     4.763e-45      3.72e-44       0.00318   3.18e+00 
5              10        0.0001            10     3.047e-44      3.72e-44     0.0003164   3.16e+00 
5              10         1e-05            10     3.647e-44      3.72e-44     3.162e-05   3.16e+00 



